state_county_name,precipitation_in,rain_days,usgs_runoff_in
Georgia-Cherokee,60,106.8,22.75
Georgia-Clarke,48.88,97.8,18
Georgia-Clay,60,85.7,18
Georgia-Clayton,60,97.8,22.75
Georgia-Clinch,60,97.8,11
Georgia-Cobb,60,99.6,21
Georgia-Coffee,48.94,93.5,11
Georgia-Colquitt,57.93,100,13
Georgia-Columbia,45,97.8,14.667
Georgia-Cook,55.63,97.8,11
Georgia-Coweta,60,98.1,20
Georgia-Crawford,45,88.3,14.25
Georgia-Crisp,45,97.8,12
Georgia-Dade,60,113.8,26
Georgia-Dawson,62,112.1,30
Georgia-De Kalb,60,99.8,22.75
Georgia-Decatur,60,97.8,19
Georgia-Dodge,45,96.9,15
Georgia-Dooly,45,96.7,14.5
Georgia-Dougherty,59.95,97.8,15
Georgia-Douglas,60,97.2,20
Georgia-Early,60,97.6,18
Georgia-Echols,60,97.8,11
Georgia-Effingham,45,93.4,12
Georgia-Elbert,45,97.8,14.333
Georgia-Emanuel,45,83,12
Georgia-Evans,45,97.8,13.333
Georgia-Fannin,63.48,134.9,35
Georgia-Fayette,60,97.8,22.2
Georgia-Floyd,60,98.3,22.429
Georgia-Forsyth,60,112.5,27.5
Georgia-Franklin,60,95.1,23
Georgia-Fulton,60,102.7,22.2
Georgia-Gilmer,62.03,123.5,27.5
Georgia-Glascock,45,97.8,13.667
Georgia-Glynn,58.97,97.8,12.5
Georgia-Gordon,60,97.1,22.75
Georgia-Grady,60,97.8,15.5
Georgia-Greene,45,97.1,15
Georgia-Gwinnett,60,100.5,22.75
Georgia-Habersham,62.85,115.3,35
Georgia-Hall,60,109.7,30
Georgia-Hancock,45,84.5,14
Georgia-Haralson,60,98,21
Georgia-Harris,60,96.6,22.2
Georgia-Hart,57.59,97.8,19.6
Georgia-Heard,60,97.8,20
Georgia-Henry,58.55,97.8,18
Georgia-Houston,45,91.8,11.5
Georgia-Irwin,45,97.8,11
Georgia-Jackson,60,97.8,22.75
Georgia-Jasper,45,87.2,15.5
Georgia-Jeff Davis,45,96,12
Georgia-Jefferson,45,86.4,13
Georgia-Jenkins,45,83,12
Georgia-Johnson,45,88.2,12
Georgia-Jones,45,97.7,14.5
Georgia-Lamar,54.92,97.8,16
Georgia-Lanier,60,97.8,13
Georgia-Laurens,45,92.2,12
Georgia-Lee,49.07,97.8,14.5
Georgia-Liberty,46.47,98.2,11.333
Georgia-Lincoln,45,97.8,13
Georgia-Long,45.19,99.2,12.5
Georgia-Lowndes,60,97.5,11
Georgia-Lumpkin,66,123.8,35
Georgia-Macon,45,87.8,16.889
Georgia-Madison,51.97,97.8,18
Georgia-Marion,47.7,96.3,22
Georgia-McDuffie,45,97,14
Georgia-McIntosh,57.75,97.8,12
Georgia-Meriwether,60,94.8,18
Georgia-Miller,60,97.8,18
Georgia-Mitchell,60,97.4,15.5
Georgia-Monroe,45.04,97.8,15.5
Georgia-Montgomery,45,82.8,11
Georgia-Morgan,45,89.5,15.5
Georgia-Murray,60.7,110.6,30
Georgia-Muscogee,60,97.2,18
Georgia-Newton,47.42,99.8,18
Georgia-Oconee,48.09,97.8,17
Georgia-Oglethorpe,45,92.2,15.667
Georgia-Paulding,60,99.2,20
Georgia-Peach,45,83.9,12.333
Georgia-Pickens,60.35,105.1,22.75
Georgia-Pierce,47.17,89.5,12
Georgia-Pike,60,97.8,18
Georgia-Polk,60,96.3,28
Georgia-Pulaski,45,97.8,12
Georgia-Putnam,45,86.1,15
Georgia-Quitman,60,92.9,18
Georgia-Rabun,80.37,131.1,45
Georgia-Randolph,59.23,97,21
Georgia-Richmond,45,97.8,15
Georgia-Rockdale,60,97.8,18
Georgia-Schley,45,97.8,23
Georgia-Screven,45,83.3,13.333
Georgia-Seminole,60,97.8,20
Georgia-Spalding,60,103.8,18
Georgia-Stephens,60,103.5,27.25
Georgia-Stewart,47.85,86.9,18
Georgia-Sumter,45,97.8,16.6
Georgia-Talbot,59.95,83.4,21
Georgia-Taliaferro,45,97.8,20
Georgia-Tattnall,45,96.3,12.5
Georgia-Taylor,45.28,84.2,19.167
Georgia-Telfair,45,94.2,11
Georgia-Terrell,51.91,97.8,16
Georgia-Thomas,60,97.8,13.667
Georgia-Tift,45,97.8,12
Georgia-Toombs,45,86.3,11
Georgia-Towns,70.55,133.5,40
Georgia-Treutlen,45,83,13
Georgia-Troup,60,97.8,20
Georgia-Turner,45,97.8,12
Georgia-Twiggs,45,90.4,15
Georgia-Union,68.56,134.7,35
Georgia-Upson,57.83,97.3,18
Georgia-Walker,60,106.7,28
Georgia-Walton,55.18,97.8,18
Georgia-Ware,55.03,98.1,11.5
Georgia-Warren,45,88,14
Georgia-Washington,45,95.9,14.25
Georgia-Wayne,53.21,98.2,13
Georgia-Webster,45,97.8,19
Georgia-Wheeler,45,81.2,11
Georgia-White,66.1,123.2,35
Georgia-Whitfield,60,109.3,28
Georgia-Wilcox,45,97.8,12
Georgia-Wilkes,45,97.8,13.667
Georgia-Wilkinson,45,93.8,15.5
Georgia-Worth,47.33,97.8,13
Hawaii-Hawaii,0,0,
Hawaii-Honolulu,0,0,
Hawaii-Kauai,0,0,
Hawaii-Maui,0,0,
Idaho-Ada,11.38,68.2,2.125
Idaho-Adams,32.49,108.4,22.5
Idaho-Bannock,19.79,87.8,2.125
Idaho-Bear Lake,22.92,94.2,17.222
Idaho-Benewah,30.96,119.6,17.5
Idaho-Bingham,12.66,76.4,0.76
Idaho-Blaine,19.96,76.1,5.4
Idaho-Boise,32.59,101.4,20.833
Idaho-Bonner,38.43,137.8,24.545
Idaho-Bonneville,18.88,95.6,6.38
Idaho-Boundary,39.38,136.8,29.167
Idaho-Butte,12.63,64.2,2.686
Idaho-Camas,24.02,81.8,9
Idaho-Canyon,8.56,68.7,1.167
Idaho-Caribou,23.48,100.6,11.429
Idaho-Cassia,14.49,74.3,2.083
Idaho-Clark,17.96,82.4,2.125
Idaho-Clearwater,48.69,151,23.333
Idaho-Custer,25.59,89.9,11.8
Idaho-Elmore,21.34,80.5,10.37
Idaho-Franklin,22.79,94.1,20.556
Idaho-Fremont,27.86,112.6,15.269
Idaho-Gem,20.89,87.5,10
Idaho-Gooding,10.15,68,0.78
Idaho-Idaho,39.03,136.1,27.762
Idaho-Jefferson,9.22,70.7,0.667
Idaho-Jerome,8.5,68,0.267
Idaho-Kootenai,32.15,122.7,17.5
Idaho-Latah,31.28,124.5,17.5
Idaho-Lemhi,22.48,94.9,11.667
Idaho-Lewis,24.76,121.8,7.5
Idaho-Lincoln,10.51,67.8,0.76
Idaho-Madison,17.4,91.2,5.583
Idaho-Minidoka,9.04,68,0.15
Idaho-Nez Perce,20.51,106.2,7.5
Idaho-Oneida,19.31,84,5
Idaho-Owyhee,12.16,63.8,1.848
Idaho-Payette,12.43,72.5,3
Idaho-Power,16.69,81.8,2.686
Idaho-Shoshone,47.97,151.6,31.875
Idaho-Teton,23.35,104.8,24.167
Idaho-Twin Falls,10.41,69.1,1.988
Idaho-Valley,37.67,121.8,26.667
Idaho-Washington,24.25,89.1,8.667
Illinois-Adams,35.01,94.9,9
Illinois-Alexander,45,97.8,16
Illinois-Bond,35.01,96.2,9
Illinois-Boone,35.01,97.8,9
Illinois-Brown,35.01,83.2,9
Illinois-Bureau,35.01,94.8,9
Illinois-Calhoun,35.01,97.8,9
Illinois-Carroll,35.01,97.8,9
Illinois-Cass,35.01,93.2,9
Illinois-Champaign,35.01,97.5,11
Illinois-Christian,35.34,97.7,9
Illinois-Clark,44.81,98,12
Illinois-Clay,45,97.8,10
Illinois-Clinton,36.75,97,9
Illinois-Coles,35.02,97.8,10
Illinois-Cook,35.01,109.7,11
Illinois-Crawford,45,97.9,12
Illinois-Cumberland,35.55,97.8,10
Illinois-De Kalb,35.01,103,11
Illinois-De Witt,35.01,96.5,9
Illinois-Douglas,35.01,97.8,10
Illinois-Du Page,35.01,99.7,10
Illinois-Edgar,42.06,104,10
Illinois-Edwards,45,97.8,12
Illinois-Effingham,41.45,97.8,10
Illinois-Fayette,38.18,97.8,9.5
Illinois-Ford,35.01,99.9,11
Illinois-Franklin,45,97.8,12
Illinois-Fulton,35.01,90.6,9
Illinois-Gallatin,45,98.6,14
